연료별,시도명,기준연도,차량대수,위도,경도
경유,강원,2017,354524,37.743986,128.377763
경유,강원,2018,366877,37.743986,128.377763
경유,강원,2019,369370,37.743986,128.377763
경유,강원,2020,374719,37.743986,128.377763
경유,강원,2021,370641,37.743986,128.377763
경유,강원,2022,369177,37.743986,128.377763
경유,경기,2017,2290541,37.570541,127.218186
경유,경기,2018,2399774,37.570541,127.218186
경유,경기,2019,2401337,37.570541,127.218186
경유,경기,2020,2436919,37.570541,127.218186
경유,경기,2021,2445782,37.570541,127.218186
경유,경기,2022,2442913,37.570541,127.218186
경유,경남,2017,717127,35.369912,128.306141
경유,경남,2018,732391,35.369912,128.306141
경유,경남,2019,736952,35.369912,128.306141
경유,경남,2020,748231,35.369912,128.306141
경유,경남,2021,739705,35.369912,128.306141
경유,경남,2022,736731,35.369912,128.306141
경유,경북,2017,638956,36.415779,128.959988
경유,경북,2018,658801,36.415779,128.959988
경유,경북,2019,667262,36.415779,128.959988
경유,경북,2020,672218,36.415779,128.959988
경유,경북,2021,662771,36.415779,128.959988
경유,경북,2022,657241,36.415779,128.959988
경유,광주,2017,262201,35.152446,126.89662700000001
경유,광주,2018,270869,35.152446,126.89662700000001
경유,광주,2019,272754,35.152446,126.89662700000001
경유,광주,2020,272915,35.152446,126.89662700000001
경유,광주,2021,266902,35.152446,126.89662700000001
경유,광주,2022,263666,35.152446,126.89662700000001
경유,대구,2017,458852,35.858584,128.590283
경유,대구,2018,472257,35.858584,128.590283
경유,대구,2019,470569,35.858584,128.590283
경유,대구,2020,470980,35.858584,128.590283
경유,대구,2021,450862,35.858584,128.590283
경유,대구,2022,443822,35.858584,128.590283
경유,대전,2017,253864,36.331717,127.39964000000002
경유,대전,2018,260742,36.331717,127.39964000000002
경유,대전,2019,259170,36.331717,127.39964000000002
경유,대전,2020,255773,36.331717,127.39964000000002
경유,대전,2021,248807,36.331717,127.39964000000002
경유,대전,2022,245797,36.331717,127.39964000000002
경유,부산,2017,535827,35.170006,129.051061
경유,부산,2018,556857,35.170006,129.051061
경유,부산,2019,562587,35.170006,129.051061
경유,부산,2020,562780,35.170006,129.051061
경유,부산,2021,554251,35.170006,129.051061
경유,부산,2022,539972,35.170006,129.051061
경유,서울,2017,1135239,37.542987,126.98922599999999
경유,서울,2018,1147787,37.542987,126.98922599999999
경유,서울,2019,1121920,37.542987,126.98922599999999
경유,서울,2020,1108287,37.542987,126.98922599999999
경유,서울,2021,1084741,37.542987,126.98922599999999
경유,서울,2022,1057305,37.542987,126.98922599999999
경유,세종,2017,51866,36.599569,127.29927200000002
경유,세종,2018,58530,36.599569,127.29927200000002
경유,세종,2019,62853,36.599569,127.29927200000002
경유,세종,2020,65119,36.599569,127.29927200000002
경유,세종,2021,65600,36.599569,127.29927200000002
경유,세종,2022,65904,36.599569,127.29927200000002
경유,울산,2017,221735,35.557316,129.259847
경유,울산,2018,227287,35.557316,129.259847
경유,울산,2019,228433,35.557316,129.259847
경유,울산,2020,226286,35.557316,129.259847
경유,울산,2021,220030,35.557316,129.259847
경유,울산,2022,213871,35.557316,129.259847
경유,인천,2017,656260,37.498898,126.681262
경유,인천,2018,681917,37.498898,126.681262
경유,인천,2019,679511,37.498898,126.681262
경유,인천,2020,667562,37.498898,126.681262
경유,인천,2021,633162,37.498898,126.681262
경유,인천,2022,601916,37.498898,126.681262
경유,전남,2017,499841,34.98205,127.045396
경유,전남,2018,521738,34.98205,127.045396
경유,전남,2019,528336,34.98205,127.045396
경유,전남,2020,536707,34.98205,127.045396
경유,전남,2021,548344,34.98205,127.045396
경유,전남,2022,551110,34.98205,127.045396
경유,전북,2017,422783,35.765222,127.193213
경유,전북,2018,437810,35.765222,127.193213
경유,전북,2019,437725,35.765222,127.193213
경유,전북,2020,437597,35.765222,127.193213
경유,전북,2021,431314,35.765222,127.193213
경유,전북,2022,428803,35.765222,127.193213
경유,제주,2017,215321,33.385299,126.57622199999999
경유,제주,2018,240567,33.385299,126.57622199999999
경유,제주,2019,253162,33.385299,126.57622199999999
경유,제주,2020,250406,33.385299,126.57622199999999
경유,제주,2021,252834,33.385299,126.57622199999999
경유,제주,2022,245624,33.385299,126.57622199999999
경유,충남,2017,497950,36.508657,126.886386
경유,충남,2018,517539,36.508657,126.886386
경유,충남,2019,522886,36.508657,126.886386
경유,충남,2020,523015,36.508657,126.886386
경유,충남,2021,516048,36.508657,126.886386
경유,충남,2022,515600,36.508657,126.886386
경유,충북,2017,363508,36.739084,127.72558199999999
경유,충북,2018,377794,36.739084,127.72558199999999
경유,충북,2019,382716,36.739084,127.72558199999999
경유,충북,2020,382610,36.739084,127.72558199999999
경유,충북,2021,380157,36.739084,127.72558199999999
경유,충북,2022,378721,36.739084,127.72558199999999
