시도명,기준연월,차량대수,위도,경도
강원,202312,18236,37.69442222,127.8908417
강원,202401,18247,37.69442222,127.8908417
강원,202402,18240,37.69442222,127.8908417
강원,202403,18546,37.69442222,127.8908417
강원,202404,18742,37.69442222,127.8908417
강원,202405,19003,37.69442222,127.8908417
강원,202406,19268,37.69442222,127.8908417
강원,202407,19611,37.69442222,127.8908417
강원,202408,19851,37.69442222,127.8908417
강원,202409,20142,37.69442222,127.8908417
강원,202410,20458,37.69442222,127.8908417
강원,202411,20730,37.69442222,127.8908417
강원,202412,21004,37.69442222,127.8908417
경기,202312,114117,37.29535833,127.6396222
경기,202401,114735,37.29535833,127.6396222
경기,202402,115414,37.29535833,127.6396222
경기,202403,120975,37.29535833,127.6396222
경기,202404,123610,37.29535833,127.6396222
경기,202405,127098,37.29535833,127.6396222
경기,202406,131038,37.29535833,127.6396222
경기,202407,134741,37.29535833,127.6396222
경기,202408,138713,37.29535833,127.6396222
경기,202409,141404,37.29535833,127.6396222
경기,202410,145219,37.29535833,127.6396222
경기,202411,149479,37.29535833,127.6396222
경기,202412,151850,37.29535833,127.6396222
경상,202312,135878,35.86952722,128.6061745
경상,202401,136404,35.86952722,128.6061745
경상,202402,136843,35.86952722,128.6061745
경상,202403,142446,35.86952722,128.6061745
경상,202404,145053,35.86952722,128.6061745
경상,202405,148545,35.86952722,128.6061745
경상,202406,152005,35.86952722,128.6061745
경상,202407,155705,35.86952722,128.6061745
경상,202408,158772,35.86952722,128.6061745
경상,202409,161294,35.86952722,128.6061745
경상,202410,163972,35.86952722,128.6061745
경상,202411,167932,35.86952722,128.6061745
경상,202412,169821,35.86952722,128.6061745
서울,202312,72937,37.53609444,126.9675222
서울,202401,72877,37.53609444,126.9675222
서울,202402,72981,37.53609444,126.9675222
서울,202403,74438,37.53609444,126.9675222
서울,202404,75282,37.53609444,126.9675222
서울,202405,76551,37.53609444,126.9675222
서울,202406,78215,37.53609444,126.9675222
서울,202407,79548,37.53609444,126.9675222
서울,202408,80474,37.53609444,126.9675222
서울,202409,81088,37.53609444,126.9675222
서울,202410,81599,37.53609444,126.9675222
서울,202411,82824,37.53609444,126.9675222
서울,202412,83868,37.53609444,126.9675222
인천,202312,40397,37.44971062,126.7309669
인천,202401,40845,37.44971062,126.7309669
인천,202402,41189,37.44971062,126.7309669
인천,202403,42447,37.44971062,126.7309669
인천,202404,43698,37.44971062,126.7309669
인천,202405,45136,37.44971062,126.7309669
인천,202406,46697,37.44971062,126.7309669
인천,202407,48073,37.44971062,126.7309669
인천,202408,49758,37.44971062,126.7309669
인천,202409,50994,37.44971062,126.7309669
인천,202410,52472,37.44971062,126.7309669
인천,202411,54387,37.44971062,126.7309669
인천,202412,54398,37.44971062,126.7309669
전라,202312,56533,35.318125,126.9901639
전라,202401,56632,35.318125,126.9901639
전라,202402,56711,35.318125,126.9901639
전라,202403,59133,35.318125,126.9901639
전라,202404,60486,35.318125,126.9901639
전라,202405,61721,35.318125,126.9901639
전라,202406,63025,35.318125,126.9901639
전라,202407,64700,35.318125,126.9901639
전라,202408,66295,35.318125,126.9901639
전라,202409,67893,35.318125,126.9901639
전라,202410,69294,35.318125,126.9901639
전라,202411,70917,35.318125,126.9901639
전라,202412,71529,35.318125,126.9901639
제주,202312,39418,33.25235,126.5125556
제주,202401,39439,33.25235,126.5125556
제주,202402,39535,33.25235,126.5125556
제주,202403,40551,33.25235,126.5125556
제주,202404,41056,33.25235,126.5125556
제주,202405,41519,33.25235,126.5125556
제주,202406,42436,33.25235,126.5125556
제주,202407,43117,33.25235,126.5125556
제주,202408,44490,33.25235,126.5125556
제주,202409,45748,33.25235,126.5125556
제주,202410,47306,33.25235,126.5125556
제주,202411,48523,33.25235,126.5125556
제주,202412,49007,33.25235,126.5125556
충청,202312,66384,36.804125,127.1524667
충청,202401,66608,36.804125,127.1524667
충청,202402,66542,36.804125,127.1524667
충청,202403,69414,36.804125,127.1524667
충청,202404,70794,36.804125,127.1524667
충청,202405,72024,36.804125,127.1524667
충청,202406,73926,36.804125,127.1524667
충청,202407,75576,36.804125,127.1524667
충청,202408,77494,36.804125,127.1524667
충청,202409,78883,36.804125,127.1524667
충청,202410,80821,36.804125,127.1524667
충청,202411,82200,36.804125,127.1524667
충청,202412,82767,36.804125,127.1524667
