시도명,기준연월,충전기대수,위도,경도
강원,202312,67446,37.69442222,127.8908417
경기,202312,15489,37.29535833,127.6396222
경상,202312,10515,35.86952722,128.6061745
서울,202312,48559,37.53609444,126.9675222
인천,202312,77364,37.44971062,126.7309669
전라,202312,34200,35.318125,126.9901639
제주,202312,7531,33.25235,126.5125556
충청,202312,27044,36.804125,127.1524667
강원,202401,70970,37.69442222,127.8908417
경기,202401,16269,37.29535833,127.6396222
경상,202401,10945,35.86952722,128.6061745
서울,202401,50152,37.53609444,126.9675222
인천,202401,82690,37.44971062,126.7309669
전라,202401,36174,35.318125,126.9901639
제주,202401,7690,33.25235,126.5125556
충청,202401,28512,36.804125,127.1524667
강원,202402,72581,37.69442222,127.8908417
경기,202402,16681,37.29535833,127.6396222
경상,202402,11227,35.86952722,128.6061745
서울,202402,51392,37.53609444,126.9675222
인천,202402,84912,37.44971062,126.7309669
전라,202402,37604,35.318125,126.9901639
제주,202402,7756,33.25235,126.5125556
충청,202402,29369,36.804125,127.1524667
강원,202403,74447,37.69442222,127.8908417
경기,202403,17800,37.29535833,127.6396222
경상,202403,11700,35.86952722,128.6061745
서울,202403,53213,37.53609444,126.9675222
인천,202403,88461,37.44971062,126.7309669
전라,202403,38935,35.318125,126.9901639
제주,202403,7913,33.25235,126.5125556
충청,202403,30785,36.804125,127.1524667
강원,202404,77173,37.69442222,127.8908417
경기,202404,18724,37.29535833,127.6396222
경상,202404,11997,35.86952722,128.6061745
서울,202404,55050,37.53609444,126.9675222
인천,202404,92560,37.44971062,126.7309669
전라,202404,40197,35.318125,126.9901639
제주,202404,8024,33.25235,126.5125556
충청,202404,32160,36.804125,127.1524667
강원,202405,79022,37.69442222,127.8908417
경기,202405,19032,37.29535833,127.6396222
경상,202405,12284,35.86952722,128.6061745
서울,202405,55954,37.53609444,126.9675222
인천,202405,95589,37.44971062,126.7309669
전라,202405,41478,35.318125,126.9901639
제주,202405,8016,33.25235,126.5125556
충청,202405,33158,36.804125,127.1524667
강원,202406,80642,37.69442222,127.8908417
경기,202406,19469,37.29535833,127.6396222
경상,202406,12477,35.86952722,128.6061745
서울,202406,56755,37.53609444,126.9675222
인천,202406,98168,37.44971062,126.7309669
전라,202406,42139,35.318125,126.9901639
제주,202406,8014,33.25235,126.5125556
충청,202406,33872,36.804125,127.1524667
강원,202407,82344,37.69442222,127.8908417
경기,202407,19648,37.29535833,127.6396222
경상,202407,12778,35.86952722,128.6061745
서울,202407,57400,37.53609444,126.9675222
인천,202407,99674,37.44971062,126.7309669
전라,202407,42813,35.318125,126.9901639
제주,202407,8028,33.25235,126.5125556
충청,202407,34482,36.804125,127.1524667
강원,202408,84146,37.69442222,127.8908417
경기,202408,20196,37.29535833,127.6396222
경상,202408,12967,35.86952722,128.6061745
서울,202408,58182,37.53609444,126.9675222
인천,202408,102032,37.44971062,126.7309669
전라,202408,43567,35.318125,126.9901639
제주,202408,8152,33.25235,126.5125556
충청,202408,35507,36.804125,127.1524667
강원,202409,84870,37.69442222,127.8908417
경기,202409,20502,37.29535833,127.6396222
경상,202409,13109,35.86952722,128.6061745
서울,202409,58784,37.53609444,126.9675222
인천,202409,104232,37.44971062,126.7309669
전라,202409,43935,35.318125,126.9901639
제주,202409,8361,33.25235,126.5125556
충청,202409,36234,36.804125,127.1524667
강원,202410,86337,37.69442222,127.8908417
경기,202410,21061,37.29535833,127.6396222
경상,202410,13303,35.86952722,128.6061745
서울,202410,59524,37.53609444,126.9675222
인천,202410,106967,37.44971062,126.7309669
전라,202410,44784,35.318125,126.9901639
제주,202410,8489,33.25235,126.5125556
충청,202410,37066,36.804125,127.1524667
강원,202411,87828,37.69442222,127.8908417
경기,202411,21795,37.29535833,127.6396222
경상,202411,13518,35.86952722,128.6061745
서울,202411,60201,37.53609444,126.9675222
인천,202411,109467,37.44971062,126.7309669
전라,202411,45635,35.318125,126.9901639
제주,202411,8519,33.25235,126.5125556
충청,202411,37911,36.804125,127.1524667
강원,202412,90573,37.69442222,127.8908417
경기,202412,22349,37.29535833,127.6396222
경상,202412,13818,35.86952722,128.6061745
서울,202412,60615,37.53609444,126.9675222
인천,202412,112384,37.44971062,126.7309669
전라,202412,47247,35.318125,126.9901639
제주,202412,8561,33.25235,126.5125556
충청,202412,38585,36.804125,127.1524667
