기준연월,차량대수
2022-12-01,389855
2023-01-01,390403
2023-02-01,401211
2023-03-01,422383
2023-04-01,437486
2023-05-01,450731
2023-06-01,464928
2023-07-01,478848
2023-08-01,488216
2023-09-01,501485
2023-10-01,515908
2023-11-01,531812
2023-12-01,543900
2024-01-01,545787
2024-02-01,547455
2024-03-01,567954
2024-04-01,578721
2024-05-01,591597
2024-06-01,606610
2024-07-01,621071
2024-08-01,635847
2024-09-01,647446
2024-10-01,661141
2024-11-01,676992
2024-12-01,684244
2025-01-01,686041
2025-02-01,698807
2025-03-01,716310
2025-04-01,733030
2025-05-01,754106
2025-06-01,755533
2025-07-01,767620
2025-08-01,779692
2025-09-01,791749
2025-10-01,803791
2025-11-01,815817
2025-12-01,827829
